,AccelerationX,AccelerationY,AccelerationZ,GyroscopeX,GyroscopeY,GyroscopeZ,Label
171,0.038925171,1.017974854,-0.069290161,0.386845976,-1.56224227,0.672100365,Moving 
172,-0.033416748,0.988647461,0.026947021,1.04383719,-0.567488194,0.611753106,Moving 
173,-0.136123657,1.081558228,0.018417358,1.03390038,-0.867154777,0.624317408,Moving 
174,-0.281829834,1.383605957,0.174179077,1.034687877,-1.130616307,0.172965392,Moving 
175,0.14491272,1.018936157,0.369110107,-0.065698855,-1.895059586,0.376727849,Moving 
176,-0.037033081,0.821090698,-0.188110352,-1.310116291,-2.761835814,0.648932219,Moving 
177,-0.085784912,0.874832153,-0.394378662,-0.094944887,-1.740635157,0.035359856,Moving 
178,0.012130737,1.020935059,-0.301254272,0.250054836,0.48343724,-0.063642092,Moving 
179,0.232711792,1.057891846,-0.288757324,-0.148731157,0.757114828,-0.11714074,Moving 
180,0.448852539,0.988311768,-0.246170044,0.53463757,-1.380423665,-0.002478604,Moving 
181,0.470825195,0.891616821,-0.060165405,0.016346483,-1.664626718,0.64517796,Moving 
182,0.15953064,0.981811523,-0.136856079,0.087726653,-1.944397807,0.629021585,Moving 
183,0.046646118,0.936218262,-0.172180176,0.30515939,-1.409189343,0.408891618,Moving 
184,-0.005752563,0.980773926,-0.141448975,0.251629293,-1.104377508,0.125641018,Moving 
185,0.098419189,1.028137207,-0.132446289,0.304374009,-1.373918176,-0.027759193,Moving 
186,0.257003784,1.010360718,-0.05859375,0.234156311,-1.95897758,0.102056064,Moving 
187,0.252212524,0.961242676,-0.031021118,-0.006504771,-2.165641785,0.243383899,Moving 
188,0.123184204,0.966567993,-0.069778442,0.04200444,-1.377177,0.09900488,Moving 
189,0.137466431,0.971939087,-0.113693237,0.100856304,-0.890347481,-0.103091501,Moving 
190,0.157012939,0.959976196,-0.149017334,0.186683059,-0.930577159,-0.204405069,Moving 
191,0.159744263,1.039825439,-0.097610474,0.207545206,-1.76232338,-0.216054261,Moving 
192,0.222305298,1.022735596,-0.072631836,0.168105379,-1.798658729,-0.270450652,Moving 
193,0.291656494,0.968139648,0.006011963,0.150574863,-2.012339592,-0.229126662,Moving 
194,0.271514893,0.999359131,0.090911865,-0.147341251,-1.757294297,0.005273858,Moving 
195,0.432388306,1.175338745,0.072280884,-0.621649444,-0.776336491,0.184814319,Moving 
196,0.542144775,1.155731201,0.181915283,-1.301365852,0.264102489,0.911153972,Moving 
197,-0.115707397,1.042419434,0.463302612,-1.940106988,1.099303365,1.356010795,Moving 
198,-0.307632446,1.346237183,0.069702148,-3.200546741,0.769411445,0.786172092,Moving 
199,-0.209274292,1.429840088,-0.567214966,-2.517506599,-2.16490221,0.369276583,Moving 
200,0.173278809,1.108596802,-0.262008667,-0.358315021,0.289903998,0.544215918,Moving 
201,0.473678589,0.97277832,0.467132568,-0.608640432,-0.442743331,1.02402854,Moving 
